Tiempo,Xcom,Ycom,Zcom,x_robot,y_robot,z_robot,angulo_x,angulo_y,angulo_z,aceleracion_x,aceleracion_y,aceleracion_z,velocidad_angular_x,velocidad_angular_y,velocidad_angular_z,campo_magnetico_x,campo_magnetico_y,campo_magnetico_z,Xzmp_Juanlo,Yzmp_Juanlo,fx0,fy0,fz0,mx0,my0,mz0,Xzmp0,Yzmp0,fx1,fy1,fz1,mx1,my1,mz1,Xzmp1,Yzmp1,Xzmp_Loli,Yzmp_Loli
47.62,0,0,103.66,0.13,-0.17,-9.80,179.06,-0.59,26.89,0.12,0.22,-9.74,0.27,-0.10,-0.25,0.32,0.14,0.87,23.94,-17.79,12.58,-6.67,-260.50,99.55,177.14,6.48,68.93,-37.72,-16.20,11.15,-285.68,-68.51,47.54,-11.69,15.54,23.22,7.42,-5.84
47.65,0,0,103.66,0.13,-0.17,-9.80,179.05,-0.59,26.89,0.01,0.21,-9.80,0.10,-0.01,-0.17,0.33,0.14,0.87,23.49,-17.92,11.78,-6.29,-259.47,99.88,177.66,6.58,69.35,-38.03,-15.42,10.57,-284.78,-67.36,48.56,-11.99,16.00,22.93,7.85,-6.13
47.68,0,0,103.66,0.13,-0.17,-9.79,179.05,-0.60,26.89,0.16,0.25,-9.82,-0.24,0.13,-0.23,0.32,0.14,0.87,23.84,-18.48,11.61,-6.32,-259.11,99.92,177.99,6.67,69.56,-38.09,-15.18,10.87,-284.19,-66.47,48.99,-11.11,16.20,22.65,8.06,-6.32
47.72,0,0,103.66,0.13,-0.18,-9.79,179.05,-0.59,26.89,0.16,0.18,-9.82,-0.25,0.31,-0.33,0.32,0.14,0.87,24.29,-18.88,11.11,-6.27,-257.87,99.94,178.66,6.76,70.12,-38.28,-15.56,11.60,-283.08,-66.05,50.87,-10.88,16.90,22.54,8.68,-6.46
47.74,0,0,103.66,0.12,-0.18,-9.79,179.03,-0.59,26.88,0.12,0.22,-9.72,-0.59,0.41,0.03,0.32,0.14,0.87,23.42,-19.58,10.82,-5.85,-257.41,99.99,178.74,6.56,70.25,-38.41,-15.54,10.87,-283.13,-66.05,51.75,-10.84,17.21,22.58,8.88,-6.46
47.77,0,0,103.66,0.13,-0.18,-9.79,179.02,-0.59,26.88,0.33,0.20,-9.85,-0.43,-0.20,0.07,0.33,0.14,0.87,24.15,-19.58,10.95,-6.19,-256.84,99.57,178.99,6.63,70.52,-38.30,-15.32,11.47,-282.87,-66.43,53.10,-10.90,17.72,22.70,9.26,-6.33
47.80,0,0,103.66,0.12,-0.19,-9.80,179.02,-0.60,26.88,-0.03,0.23,-9.85,0.12,0.53,-0.29,0.33,0.14,0.87,22.86,-19.96,11.09,-6.21,-256.02,99.33,179.06,6.71,70.78,-38.33,-15.34,11.37,-283.72,-67.38,53.83,-11.54,17.92,22.97,9.41,-6.11
47.83,0,0,103.66,0.12,-0.19,-9.80,179.02,-0.59,26.88,0.27,0.16,-9.88,-0.14,0.11,-0.30,0.32,0.14,0.87,22.60,-19.99,11.09,-6.25,-255.09,98.64,179.18,6.48,71.09,-38.20,-13.83,12.22,-284.67,-68.67,54.62,-10.24,18.24,23.29,9.63,-5.77
47.86,0,0,103.66,0.13,-0.19,-9.80,179.02,-0.60,26.88,0.30,0.19,-9.84,0.16,0.24,-0.19,0.33,0.14,0.87,23.64,-19.91,10.85,-6.34,-254.88,98.27,179.27,6.48,71.16,-38.07,-15.90,12.40,-284.78,-68.69,54.65,-11.15,18.11,23.28,9.58,-5.70
47.89,0,0,103.66,0.11,-0.19,-9.81,179.03,-0.60,26.87,-0.04,0.18,-9.90,0.01,0.26,-0.37,0.33,0.14,0.87,21.69,-19.86,11.32,-6.78,-254.26,97.83,178.94,6.61,71.24,-37.96,-14.84,12.06,-286.27,-70.42,54.47,-11.41,18.02,23.78,9.47,-5.26
47.92,0,0,103.66,0.11,-0.19,-9.81,179.02,-0.60,26.87,0.08,0.20,-9.86,-0.45,0.10,-0.44,0.32,0.14,0.87,22.14,-19.99,11.47,-6.48,-254.21,97.43,178.90,6.46,71.25,-37.83,-15.54,11.64,-286.85,-71.15,54.70,-11.83,18.02,24.02,9.44,-5.04
47.95,0,0,103.66,0.11,-0.19,-9.80,179.03,-0.60,26.85,0.05,0.18,-9.77,0.19,0.42,0.14,0.33,0.13,0.87,21.74,-20.05,11.65,-6.73,-255.24,97.55,178.54,6.45,70.83,-37.71,-15.24,11.70,-287.22,-71.44,54.40,-12.28,17.91,24.08,9.22,-4.99
47.98,0,0,103.66,0.13,-0.19,-9.80,179.02,-0.60,26.87,0.24,0.17,-9.76,-0.52,0.17,-0.50,0.32,0.14,0.87,24.52,-19.62,11.65,-6.71,-255.45,97.65,178.43,6.60,70.73,-37.72,-14.88,12.20,-287.65,-71.41,53.68,-10.94,17.66,24.00,9.03,-5.03
48.01,0,0,103.66,0.13,-0.18,-9.80,179.02,-0.60,26.86,-0.03,0.17,-9.63,-0.45,0.26,-0.07,0.33,0.14,0.87,24.01,-19.24,12.05,-6.88,-256.33,98.05,178.06,6.58,70.38,-37.73,-15.94,11.51,-286.64,-71.03,53.77,-11.62,17.68,24.00,8.97,-5.14
48.04,0,0,103.66,0.13,-0.18,-9.79,179.02,-0.60,26.86,0.20,0.20,-9.66,0.48,0.27,-0.41,0.33,0.14,0.87,23.61,-19.58,12.13,-6.61,-256.95,98.43,177.92,6.50,70.16,-37.81,-16.24,12.18,-286.16,-70.14,53.55,-10.67,17.61,23.68,8.89,-5.41
48.07,0,0,103.66,0.13,-0.19,-9.79,179.01,-0.60,26.85,0.15,0.15,-9.89,-0.24,0.39,-0.30,0.33,0.14,0.87,23.61,-19.99,11.92,-6.77,-258.85,99.16,177.68,6.65,69.54,-37.80,-16.08,11.78,-285.04,-68.48,53.22,-11.54,17.58,23.22,8.72,-5.82
48.10,0,0,103.66,0.13,-0.19,-9.80,179.01,-0.60,26.86,0.01,0.22,-9.92,-0.25,-0.36,0.07,0.33,0.14,0.87,23.53,-20.34,12.15,-6.67,-259.27,99.59,177.59,6.58,69.41,-37.91,-15.92,10.83,-285.10,-68.21,53.31,-11.67,17.61,23.19,8.69,-5.91
48.13,0,0,103.66,0.13,-0.20,-9.80,179.01,-0.61,26.86,0.13,0.24,-9.82,0.01,-0.07,-0.67,0.32,0.14,0.87,23.48,-20.69,11.47,-5.98,-260.09,100.14,177.78,6.45,69.21,-38.06,-14.82,10.77,-284.62,-66.81,53.36,-11.49,17.74,22.74,8.73,-6.29
48.16,0,0,103.66,0.12,-0.20,-9.80,179.01,-0.61,26.87,0.05,0.19,-9.78,-0.34,0.32,-0.27,0.33,0.14,0.87,22.87,-20.99,11.84,-6.57,-260.35,100.34,177.70,6.75,69.14,-38.05,-15.22,11.27,-282.87,-66.62,53.33,-11.58,17.81,22.78,8.82,-6.38
48.19,0,0,103.66,0.12,-0.20,-9.81,179.02,-0.61,26.87,0.06,0.18,-9.78,0.30,0.95,-0.11,0.33,0.14,0.87,22.59,-20.79,12.02,-6.48,-260.61,100.48,177.59,6.80,69.04,-38.07,-15.06,10.79,-282.97,-66.20,53.48,-11.73,17.87,22.65,8.81,-6.46
48.22,0,0,103.66,0.12,-0.20,-9.81,179.02,-0.60,26.87,0.21,0.22,-9.75,-0.42,-0.26,-0.34,0.32,0.14,0.87,23.02,-20.78,11.63,-6.36,-260.14,100.64,177.75,6.60,69.20,-38.21,-15.36,11.43,-283.13,-65.99,53.44,-10.92,17.82,22.53,8.83,-6.56
48.26,0,0,103.66,0.12,-0.20,-9.80,179.02,-0.62,26.86,-0.07,0.18,-9.76,-0.17,0.13,0.15,0.32,0.14,0.87,22.60,-20.64,11.09,-6.38,-259.73,100.15,177.86,6.52,69.31,-38.08,-15.22,11.62,-284.14,-66.84,53.59,-10.90,17.82,22.73,8.82,-6.31
48.30,0,0,103.66,0.11,-0.19,-9.80,179.01,-0.62,26.86,0.03,0.16,-9.84,0.03,0.47,-0.63,0.32,0.14,0.87,21.94,-20.17,11.94,-6.52,-259.52,99.84,177.60,6.65,69.33,-37.98,-15.74,10.69,-284.78,-67.68,53.77,-12.67,17.81,23.04,8.78,-6.06
48.32,0,0,103.66,0.12,-0.19,-9.81,179.01,-0.61,26.86,0.29,0.18,-9.88,-0.40,0.24,-0.20,0.33,0.14,0.87,22.64,-20.15,12.07,-6.61,-259.06,99.34,177.67,6.73,69.49,-37.85,-15.46,11.64,-285.47,-68.70,53.91,-10.92,17.83,23.27,8.82,-5.81
48.34,0,0,103.66,0.11,-0.19,-9.82,179.01,-0.61,26.85,0.02,0.12,-9.87,-0.25,-0.05,0.02,0.33,0.14,0.87,22.12,-19.62,12.15,-6.69,-258.65,98.95,177.62,6.65,69.58,-37.76,-15.72,11.13,-286.05,-69.88,54.25,-11.94,17.90,23.67,8.85,-5.50
48.37,0,0,103.66,0.11,-0.18,-9.81,179.00,-0.61,26.86,0.19,0.15,-9.82,-0.01,0.12,-0.19,0.33,0.14,0.87,21.40,-19.36,12.02,-6.63,-258.34,98.60,177.62,6.35,69.66,-37.67,-15.34,11.54,-286.48,-70.59,54.24,-11.62,17.89,23.86,8.85,-5.32
48.40,0,0,103.66,0.12,-0.18,-9.81,179.01,-0.61,26.85,0.17,0.17,-9.80,-0.04,0.59,0.09,0.33,0.14,0.87,22.46,-19.08,12.23,-7.09,-257.77,98.49,177.52,6.58,69.79,-37.68,-15.28,11.72,-287.27,-70.70,54.21,-11.69,17.84,23.82,8.82,-5.26
48.43,0,0,103.66,0.11,-0.18,-9.81,179.00,-0.61,26.86,0.14,0.14,-9.77,-0.32,0.31,-0.17,0.33,0.14,0.86,21.77,-18.99,12.31,-6.86,-257.98,98.45,177.54,6.58,69.74,-37.65,-15.92,11.47,-286.85,-70.53,54.71,-11.84,18.00,23.81,8.91,-5.29
48.46,0,0,103.66,0.11,-0.18,-9.80,179.00,-0.61,26.85,0.24,0.11,-9.75,-0.14,0.45,0.07,0.33,0.14,0.87,21.46,-18.56,12.15,-6.88,-257.98,98.45,177.67,6.58,69.78,-37.65,-14.58,11.78,-286.32,-70.34,54.56,-11.64,18.07,23.77,8.99,-5.34
48.50,0,0,103.66,0.12,-0.17,-9.80,179.00,-0.62,26.85,0.16,0.14,-9.80,0.04,0.63,0.10,0.32,0.14,0.87,22.51,-18.38,12.00,-7.00,-258.85,98.86,177.62,6.65,69.52,-37.67,-14.92,11.78,-286.11,-69.47,54.51,-11.50,18.04,23.48,8.90,-5.56
48.52,0,0,103.66,0.11,-0.17,-9.79,179.00,-0.63,26.86,0.03,0.12,-9.76,-0.44,0.70,-0.70,0.33,0.14,0.87,22.26,-17.93,11.78,-6.61,-259.06,99.34,177.67,6.50,69.47,-37.85,-14.84,11.54,-285.95,-69.17,54.48,-11.43,18.05,23.41,8.90,-5.71
48.55,0,0,103.66,0.11,-0.17,-9.79,178.99,-0.63,26.85,-0.01,0.18,-9.73,-0.68,0.33,0.00,0.33,0.14,0.87,21.92,-17.90,11.92,-6.75,-259.11,99.74,177.62,6.73,69.44,-37.99,-14.58,11.19,-284.99,-67.88,54.24,-11.69,18.04,23.06,8.93,-6.01
48.58,0,0,103.66,0.11,-0.17,-9.79,178.98,-0.63,26.86,0.18,0.21,-9.75,-0.41,0.39,0.16,0.32,0.14,0.87,21.60,-18.11,11.78,-6.36,-259.47,100.03,177.59,6.58,69.32,-38.08,-15.12,11.78,-284.51,-67.50,53.96,-10.35,17.94,22.92,8.86,-6.17
48.61,0,0,103.66,0.12,-0.17,-9.80,178.97,-0.63,26.85,0.23,0.18,-9.85,-0.22,-0.07,-0.12,0.33,0.14,0.87,22.98,-18.16,12.02,-6.94,-260.19,100.33,177.46,6.80,69.10,-38.04,-15.08,11.58,-283.93,-66.42,53.84,-10.75,17.93,22.60,8.81,-6.40
48.64,0,0,103.66,0.11,-0.17,-9.80,178.99,-0.65,26.86,-0.03,0.18,-9.75,0.38,0.81,0.47,0.32,0.14,0.87,21.73,-18.04,11.71,-6.65,-260.14,100.38,177.55,6.65,69.12,-38.09,-15.70,10.67,-283.98,-66.61,53.79,-12.09,17.87,22.73,8.78,-6.35
48.68,0,0,103.66,0.10,-0.17,-9.80,178.99,-0.64,26.86,-0.02,0.17,-9.83,0.17,0.24,-0.11,0.33,0.14,0.87,20.83,-18.14,12.09,-6.75,-260.76,100.36,177.31,6.73,68.90,-37.98,-15.46,11.37,-283.29,-66.58,53.59,-10.67,17.86,22.72,8.73,-6.37
48.70,0,0,103.66,0.10,-0.17,-9.80,179.00,-0.65,26.85,0.02,0.19,-9.86,0.35,1.04,-0.07,0.33,0.14,0.87,20.91,-18.01,12.02,-6.77,-260.61,100.32,177.36,6.80,68.95,-37.99,-14.92,10.75,-284.19,-66.98,53.77,-11.79,17.90,22.83,8.73,-6.26
48.73,0,0,103.66,0.11,-0.17,-9.79,178.99,-0.65,26.85,0.27,0.20,-9.74,-0.05,0.28,-0.45,0.33,0.14,0.87,21.63,-17.81,12.25,-6.84,-260.09,99.80,177.23,6.65,69.05,-37.86,-14.31,11.64,-284.57,-67.48,53.83,-10.43,17.94,22.92,8.76,-6.10
48.76,0,0,103.66,0.10,-0.17,-9.79,178.98,-0.66,26.83,-0.06,0.18,-9.77,-0.64,0.10,0.37,0.33,0.14,0.87,21.04,-17.75,11.94,-6.73,-259.52,99.63,177.43,6.73,69.26,-37.89,-15.22,11.35,-285.36,-68.26,53.95,-12.50,17.87,23.15,8.76,-5.92
48.80,0,0,103.66,0.11,-0.17,-9.79,178.98,-0.67,26.84,0.19,0.15,-9.75,0.07,0.67,0.02,0.32,0.14,0.87,21.73,-17.60,12.48,-6.94,-259.27,99.17,177.26,6.71,69.30,-37.73,-15.32,11.82,-286.32,-69.06,53.99,-10.77,17.82,23.32,8.70,-5.69
48.82,0,0,103.66,0.10,-0.16,-9.79,178.97,-0.67,26.84,0.01,0.18,-9.74,-0.89,0.13,-0.25,0.33,0.14,0.87,20.69,-17.39,12.48,-6.73,-259.06,99.13,177.40,6.65,69.41,-37.76,-16.12,11.52,-286.69,-69.84,54.51,-11.03,17.92,23.58,8.78,-5.54
48.85,0,0,103.66,0.11,-0.16,-9.79,178.97,-0.67,26.83,0.23,0.16,-9.75,-0.01,0.69,0.49,0.33,0.14,0.87,22.28,-17.28,12.31,-7.15,-258.44,98.79,177.48,6.65,69.60,-37.69,-14.88,11.29,-286.32,-69.69,54.20,-11.41,17.92,23.57,8.85,-5.49
48.88,0,0,103.66,0.12,-0.16,-9.79,178.97,-0.66,26.83,0.20,0.09,-9.82,-0.14,0.03,-0.10,0.32,0.14,0.87,23.16,-16.91,12.09,-7.05,-258.80,98.78,177.43,6.58,69.46,-37.64,-15.32,11.88,-286.90,-69.86,54.46,-11.41,17.94,23.55,8.79,-5.47
48.92,0,0,103.66,0.11,-0.16,-9.78,178.97,-0.66,26.82,0.02,0.19,-9.76,0.06,0.42,-0.19,0.33,0.14,0.87,21.77,-16.99,12.38,-7.05,-258.65,98.78,177.39,6.63,69.51,-37.66,-16.24,12.20,-286.42,-69.59,54.96,-9.90,18.09,23.47,8.90,-5.54
48.94,0,0,103.66,0.12,-0.17,-9.77,178.98,-0.66,26.82,0.25,0.25,-9.69,-0.16,0.16,-0.03,0.32,0.14,0.87,23.00,-17.72,11.92,-6.84,-258.85,99.06,177.74,6.58,69.56,-37.76,-14.88,11.52,-285.89,-69.43,54.89,-11.33,18.19,23.50,9.01,-5.61
48.97,0,0,103.66,0.12,-0.17,-9.78,178.97,-0.65,26.83,0.28,0.18,-9.87,0.20,-0.17,-0.17,0.33,0.14,0.87,23.49,-17.87,12.38,-7.19,-259.32,99.33,177.38,6.88,69.33,-37.77,-15.72,11.43,-285.89,-68.78,54.66,-11.43,18.05,23.28,8.85,-5.75
49.00,0,0,103.66,0.13,-0.17,-9.78,178.97,-0.66,26.81,0.19,0.23,-9.83,-0.09,1.02,0.13,0.33,0.14,0.87,23.60,-18.18,12.02,-6.82,-259.52,99.70,177.58,6.65,69.32,-37.90,-15.28,10.83,-285.15,-68.35,54.59,-12.26,18.11,23.23,8.92,-5.90
49.03,0,0,103.66,0.11,-0.17,-9.78,178.96,-0.68,26.83,-0.11,0.12,-9.80,-0.16,0.65,-0.29,0.33,0.14,0.87,22.32,-18.09,12.02,-6.65,-259.94,100.13,177.44,6.73,69.16,-38.02,-15.16,11.76,-284.51,-67.70,54.56,-11.69,18.14,22.99,8.91,-6.14
49.06,0,0,103.66,0.11,-0.17,-9.78,178.97,-0.68,26.83,0.17,0.14,-9.80,0.10,-0.02,-0.30,0.32,0.14,0.87,21.97,-18.26,12.09,-6.69,-260.14,100.11,177.39,6.73,69.09,-37.99,-15.52,11.74,-284.30,-67.27,54.26,-10.35,18.03,22.86,8.84,-6.21
49.09,0,0,103.66,0.11,-0.17,-9.78,178.96,-0.68,26.83,0.20,0.15,-9.74,-0.68,0.65,-0.35,0.33,0.14,0.87,22.20,-18.34,11.86,-6.61,-260.35,100.32,177.46,6.80,69.04,-38.04,-15.44,10.67,-284.57,-67.32,54.21,-11.69,18.00,22.93,8.80,-6.20
49.12,0,0,103.66,0.11,-0.18,-9.78,178.96,-0.68,26.82,0.07,0.18,-9.71,-0.25,0.26,0.21,0.32,0.14,0.87,22.38,-18.66,11.71,-6.61,-260.35,100.26,177.32,6.50,68.98,-38.02,-15.78,11.96,-283.88,-66.96,53.95,-11.03,17.93,22.77,8.76,-6.31
49.15,0,0,103.66,0.11,-0.18,-9.78,178.95,-0.68,26.81,-0.01,0.24,-9.76,-0.42,-0.08,-0.07,0.32,0.14,0.87,22.37,-19.02,11.78,-6.69,-260.35,100.15,177.32,6.58,68.99,-37.97,-14.98,11.76,-284.51,-67.22,53.85,-11.33,17.91,22.83,8.73,-6.22
49.19,0,0,103.66,0.11,-0.18,-9.78,178.94,-0.68,26.82,0.10,0.18,-9.73,-0.49,0.31,-0.63,0.32,0.14,0.87,21.93,-18.84,12.40,-6.98,-260.14,99.95,177.16,6.86,69.03,-37.90,-15.34,11.56,-284.88,-67.83,54.14,-10.56,17.96,23.02,8.75,-6.06
49.22,0,0,103.66,0.11,-0.18,-9.77,178.94,-0.67,26.81,0.24,0.14,-9.76,0.02,0.42,-0.40,0.33,0.14,0.87,22.00,-18.63,12.40,-7.15,-259.94,99.61,177.24,6.71,69.11,-37.79,-16.49,12.73,-285.42,-68.33,54.54,-10.47,17.99,23.08,8.77,-5.93
49.24,0,0,103.66,0.12,-0.18,-9.77,178.93,-0.68,26.81,0.17,0.17,-9.76,-0.31,0.34,0.11,0.32,0.14,0.87,23.09,-18.57,12.32,-7.15,-259.94,99.52,177.26,6.78,69.11,-37.75,-16.00,11.15,-285.47,-68.93,54.63,-11.96,18.05,23.39,8.80,-5.75
49.27,0,0,103.66,0.13,-0.18,-9.77,178.93,-0.68,26.81,0.20,0.17,-9.78,-0.29,-0.02,-0.17,0.33,0.14,0.87,24.24,-18.59,12.40,-7.17,-259.27,99.30,177.19,6.71,69.27,-37.77,-14.78,11.70,-286.32,-69.12,54.36,-11.35,17.98,23.35,8.77,-5.69
49.30,0,0,103.66,0.14,-0.17,-9.77,178.94,-0.67,26.81,0.15,0.14,-9.84,-0.09,-0.26,-0.37,0.33,0.14,0.87,24.93,-18.29,12.40,-7.01,-259.27,99.13,177.44,6.65,69.37,-37.71,-15.60,12.04,-285.63,-69.38,54.73,-10.90,18.10,23.47,8.91,-5.64
49.33,0,0,103.66,0.13,-0.17,-9.78,178.94,-0.68,26.82,0.07,0.17,-9.89,0.07,-0.10,0.01,0.32,0.14,0.87,23.88,-18.12,12.32,-7.11,-258.85,99.12,177.30,6.63,69.42,-37.76,-14.64,11.94,-286.32,-69.41,54.66,-11.35,18.10,23.43,8.88,-5.62
49.36,0,0,103.66,0.15,-0.17,-9.78,178.93,-0.69,26.83,0.27,0.18,-9.87,-0.47,0.75,-0.50,0.33,0.14,0.87,25.64,-18.11,11.92,-7.05,-258.65,99.18,177.43,6.73,69.49,-37.82,-15.70,11.33,-286.11,-69.28,54.73,-11.94,18.06,23.45,8.89,-5.64
49.39,0,0,103.66,0.14,-0.17,-9.78,178.93,-0.70,26.83,0.00,0.15,-9.62,-0.00,-0.26,-0.35,0.32,0.14,0.87,24.67,-18.14,12.17,-7.11,-259.06,99.28,177.43,6.65,69.40,-37.79,-15.28,12.20,-286.32,-69.10,54.61,-10.90,18.04,23.31,8.85,-5.71
49.42,0,0,103.66,0.14,-0.17,-9.78,178.92,-0.71,26.82,0.06,0.18,-9.75,-0.73,0.05,-0.28,0.33,0.14,0.87,24.97,-18.11,12.00,-6.96,-258.91,99.39,177.40,6.88,69.42,-37.87,-15.04,11.41,-285.73,-69.03,54.74,-10.98,18.14,23.38,8.93,-5.73
49.46,0,0,103.66,0.13,-0.17,-9.78,178.92,-0.71,26.83,0.09,0.19,-9.78,-0.24,0.16,-0.69,0.32,0.14,0.86,24.24,-18.27,12.25,-6.78,-259.68,99.71,177.16,6.63,69.14,-37.89,-15.78,12.10,-285.04,-68.39,54.50,-10.24,18.04,23.17,8.81,-5.94
49.48,0,0,103.66,0.14,-0.18,-9.78,178.91,-0.71,26.83,0.32,0.20,-9.83,-0.22,0.55,0.08,0.33,0.14,0.87,24.86,-18.87,12.56,-6.98,-260.19,100.10,177.19,6.95,69.03,-37.95,-14.62,11.47,-284.94,-68.13,54.36,-11.15,18.08,23.13,8.81,-6.02
49.51,0,0,103.66,0.15,-0.18,-9.78,178.91,-0.70,26.81,0.28,0.20,-9.89,0.49,-0.46,-0.27,0.33,0.13,0.87,26.22,-18.92,11.78,-6.67,-260.76,100.06,177.24,6.65,68.85,-37.88,-14.78,11.74,-284.51,-67.63,54.35,-11.01,18.09,22.97,8.78,-6.13
49.54,0,0,103.66,0.14,-0.17,-9.80,178.92,-0.71,26.82,0.11,0.16,-9.91,0.52,0.04,0.01,0.32,0.14,0.87,25.46,-18.41,12.25,-6.69,-260.56,100.26,177.32,6.73,68.97,-37.98,-15.54,11.21,-284.57,-67.21,54.29,-11.54,18.02,22.85,8.78,-6.22
49.58,0,0,103.66,0.13,-0.17,-9.79,178.94,-0.71,26.80,0.09,0.19,-9.75,0.51,0.29,0.24,0.32,0.14,0.87,24.44,-18.47,11.94,-6.82,-260.76,100.15,177.23,6.73,68.85,-37.90,-14.76,10.91,-285.04,-67.22,54.22,-11.77,18.02,22.84,8.72,-6.18
49.61,0,0,103.66,0.13,-0.17,-9.78,178.93,-0.71,26.80,0.07,0.19,-9.68,-0.52,0.65,-0.46,0.33,0.14,0.87,23.83,-18.30,12.17,-6.82,-260.56,99.95,177.16,6.71,68.90,-37.85,-15.88,11.80,-284.25,-67.40,54.40,-11.39,18.05,22.91,8.78,-6.15
49.64,0,0,103.66,0.15,-0.18,-9.79,178.92,-0.72,26.81,0.38,0.20,-9.86,-0.59,0.16,-0.78,0.33,0.14,0.87,26.40,-18.69,12.02,-6.94,-259.94,99.87,177.35,6.80,69.12,-37.90,-16.14,10.97,-284.88,-68.28,54.71,-12.41,18.11,23.22,8.86,-5.94
49.67,0,0,103.66,0.15,-0.18,-9.79,178.92,-0.72,26.81,0.21,0.17,-9.80,-0.26,0.26,0.16,0.32,0.14,0.87,26.58,-18.82,12.56,-6.98,-260.14,99.84,177.14,6.78,69.03,-37.86,-15.40,12.48,-284.83,-67.96,54.40,-10.18,18.05,23.01,8.80,-6.05
49.70,0,0,103.66,0.15,-0.18,-9.79,178.92,-0.72,26.80,0.11,0.17,-9.80,-0.24,0.52,-0.19,0.32,0.14,0.87,26.09,-18.90,12.09,-6.94,-259.27,99.51,177.26,6.73,69.27,-37.86,-14.23,11.96,-285.52,-68.66,54.18,-11.00,18.01,23.23,8.82,-5.84
49.73,0,0,103.66,0.15,-0.18,-9.79,178.91,-0.73,26.80,0.07,0.18,-9.79,-0.26,-0.31,-0.43,0.32,0.14,0.87,26.09,-18.88,12.15,-7.24,-259.32,99.37,177.31,6.86,69.28,-37.78,-14.78,11.11,-285.73,-68.81,54.37,-10.90,18.03,23.33,8.82,-5.74
49.76,0,0,103.66,0.16,-0.17,-9.79,178.90,-0.73,26.80,0.16,0.15,-9.77,-0.63,0.41,-0.40,0.32,0.14,0.86,27.00,-18.38,12.09,-6.96,-259.47,99.28,177.30,6.65,69.23,-37.74,-15.70,11.80,-286.05,-69.32,54.87,-10.90,18.12,23.43,8.84,-5.66
49.79,0,0,103.66,0.16,-0.17,-9.80,178.90,-0.74,26.80,0.13,0.16,-9.79,-0.11,0.52,-0.14,0.32,0.14,0.87,27.20,-18.31,12.17,-7.09,-259.32,99.36,177.22,6.78,69.25,-37.78,-15.20,11.68,-286.53,-69.43,54.89,-11.33,18.13,23.44,8.83,-5.65
49.82,0,0,103.66,0.16,-0.17,-9.80,178.90,-0.74,26.80,0.30,0.16,-9.80,-0.00,0.37,-0.50,0.33,0.13,0.87,27.47,-18.38,12.40,-7.11,-259.47,99.47,177.27,6.78,69.25,-37.80,-15.32,11.41,-286.32,-69.52,54.92,-11.86,18.14,23.51,8.85,-5.64
49.85,0,0,103.66,0.15,-0.17,-9.80,178.90,-0.73,26.80,-0.17,0.15,-9.72,-0.20,-0.04,-0.07,0.33,0.14,0.87,25.67,-18.26,12.25,-6.69,-259.47,99.34,177.14,6.63,69.18,-37.79,-15.52,11.64,-285.47,-69.11,55.03,-11.20,18.22,23.42,8.90,-5.72
49.88,0,0,103.66,0.15,-0.17,-9.79,178.90,-0.74,26.79,0.21,0.19,-9.70,-0.09,0.24,-0.12,0.32,0.13,0.86,25.76,-18.36,12.09,-7.01,-259.52,99.78,177.36,6.73,69.25,-37.92,-16.10,12.14,-285.63,-68.76,54.84,-10.75,18.11,23.25,8.86,-5.87
49.92,0,0,103.66,0.14,-0.17,-9.79,178.90,-0.74,26.79,0.11,0.10,-9.75,-0.15,0.26,0.28,0.32,0.14,0.87,25.52,-18.19,12.32,-6.92,-259.52,99.71,177.24,6.73,69.22,-37.90,-16.16,11.88,-285.26,-68.40,54.80,-10.84,18.11,23.17,8.87,-5.92
49.94,0,0,103.66,0.15,-0.17,-9.78,178.90,-0.74,26.79,0.11,0.15,-9.74,-0.35,0.26,-0.68,0.33,0.14,0.87,25.75,-18.12,12.17,-7.07,-259.94,99.86,177.26,6.88,69.10,-37.89,-15.86,11.47,-285.10,-67.87,54.36,-11.45,17.99,23.02,8.78,-6.03
49.97,0,0,103.66,0.14,-0.17,-9.77,178.90,-0.74,26.79,0.20,0.17,-9.69,-0.05,0.25,-0.08,0.33,0.14,0.87,25.38,-18.09,12.25,-6.90,-260.14,100.06,177.24,6.80,69.05,-37.95,-15.60,11.19,-285.15,-68.02,54.29,-11.83,17.98,23.09,8.75,-6.03
50.00,0,0,103.66,0.15,-0.17,-9.78,178.90,-0.74,26.80,0.20,0.14,-9.76,0.07,0.32,0.06,0.32,0.14,0.87,26.42,-18.03,12.25,-6.98,-260.56,99.99,177.11,6.71,68.89,-37.86,-15.80,11.05,-284.73,-67.62,54.30,-12.60,18.00,23.00,8.72,-6.08
50.03,0,0,103.66,0.15,-0.17,-9.78,178.90,-0.74,26.79,0.07,0.18,-9.75,-0.06,0.48,-0.09,0.33,0.14,0.87,26.47,-18.03,12.48,-7.11,-260.61,100.14,177.10,6.93,68.88,-37.90,-14.66,10.69,-284.83,-67.57,53.98,-12.60,17.95,22.99,8.70,-6.10
50.06,0,0,103.66,0.15,-0.17,-9.78,178.90,-0.75,26.80,0.04,0.18,-9.88,-0.56,0.77,-0.57,0.33,0.14,0.87,26.18,-17.94,12.02,-6.77,-260.14,99.99,177.20,6.65,69.01,-37.93,-13.63,11.43,-284.78,-67.89,53.91,-11.32,18.00,23.06,8.77,-6.06
